ps,knee_deg,Rg_A,f_pN,head_foot_A,D457-K688,D595-K688
100.0,139.53,61.95,59.625,138.03,8.55,5.65
200.0,140.16,62.74,58.875,140.01,6.63,2.79
300.0,139.48,62.63,58.125,139.01,5.74,3.16
400.0,135.64,62.39,57.375,138.54,7.21,2.89
500.0,138.54,62.58,56.625,138.88,6.81,2.86
600.0,140.96,62.69,55.875,139.52,6.03,3.08
700.0,139.95,62.57,55.125,139.03,8.31,2.93
800.0,141.95,62.78,54.375,139.5,6.71,2.79
900.0,143.3,62.86,53.625,140.24,5.69,2.78
1000.0,143.67,63.17,52.875,141.45,7.35,2.74
1100.0,139.6,62.95,52.125,140.61,7.65,3.19
1200.0,139.53,62.81,51.375,140.15,5.11,2.62
1300.0,145.25,62.57,50.625,139.32,5.66,2.83
1400.0,145.91,62.48,49.875,139.67,5.56,2.77
1500.0,144.23,62.62,49.125,139.68,7.46,3.43
1600.0,141.4,62.59,48.375,139.21,8.54,4.32
1700.0,142.77,62.5,47.625,139.27,6.84,2.78
1800.0,145.63,62.21,46.875,138.93,6.67,2.66
1900.0,149.23,62.29,46.125,139.58,5.06,2.8
2000.0,146.33,62.85,45.375,141.14,7.38,2.88
2100.0,146.59,63.14,44.625,141.75,7.48,2.98
2200.0,146.9,62.77,43.875,141.05,7.25,2.87
2300.0,150.3,62.76,43.125,140.61,6.65,3.24
2400.0,149.12,62.65,42.375,139.96,7.06,3.46
2500.0,147.66,62.65,41.625,140.33,5.75,2.77
2600.0,147.78,62.91,40.875,141.3,7.28,2.81
2700.0,147.27,63.36,40.125,142.07,7.59,3.05
2800.0,146.18,63.42,39.375,142.3,6.93,2.7
2900.0,152.68,63.26,38.625,142.08,6.51,2.72
3000.0,150.0,63.29,37.875,142.23,6.4,2.91
3100.0,150.57,62.91,37.125,141.38,7.03,2.69
3200.0,148.2,63.12,36.375,141.95,7.34,2.74
3300.0,148.22,62.59,35.625,141.36,7.23,3.36
3400.0,144.47,63.35,34.875,142.64,7.43,2.68
3500.0,146.94,63.02,34.125,141.61,6.27,2.84
3600.0,148.32,62.83,33.375,141.42,7.0,3.49
3700.0,151.71,63.62,32.625,143.79,6.11,2.76
3800.0,153.53,63.2,31.875,143.47,7.24,2.98
3900.0,150.17,63.26,31.125,142.86,7.77,2.8
4000.0,145.54,62.76,30.375,141.68,7.05,2.89
4100.0,147.96,62.69,29.625,140.91,6.41,2.8
4200.0,147.39,62.73,28.875,141.12,7.71,2.94
4300.0,144.86,62.09,28.125,139.42,6.91,2.75
4400.0,143.3,61.81,27.375,138.51,6.04,2.96
4500.0,140.67,61.84,26.625,138.88,6.78,2.83
4600.0,138.42,61.91,25.875,138.58,6.74,2.74
4700.0,139.73,61.84,25.125,138.2,7.07,3.89
4800.0,141.72,62.18,24.375,139.55,8.39,2.76
4900.0,143.83,61.07,23.625,136.55,3.07,2.64
5000.0,145.25,61.27,22.875,137.33,5.82,2.62
5100.0,144.0,61.52,22.125,137.8,5.42,3.32
5200.0,142.83,60.78,21.375,136.29,2.65,2.93
5300.0,142.34,60.48,20.625,135.69,5.13,2.62
5400.0,141.41,60.25,19.875,134.76,4.66,2.86
5500.0,143.19,60.68,19.125,136.39,6.8,2.89
5600.0,141.63,60.82,18.375,136.18,5.57,2.59
5700.0,143.47,60.43,17.625,135.28,6.64,2.91
5800.0,143.08,60.36,16.875,135.14,5.68,2.69
5900.0,143.66,60.76,16.125,136.65,6.41,2.96
6000.0,141.12,60.61,15.375,135.53,5.78,3.18
6100.0,143.19,60.3,14.625,134.35,5.66,2.85
6200.0,143.99,61.24,13.875,136.98,5.81,2.85
6300.0,144.76,60.66,13.125,135.5,5.69,2.83
6400.0,145.89,61.08,12.375,136.16,5.05,2.83
6500.0,142.48,61.19,11.625,136.16,5.83,2.88
6600.0,142.36,60.95,10.875,135.5,5.06,2.67
6700.0,140.93,60.19,10.125,133.74,6.25,2.72
6800.0,140.18,60.24,9.375,133.27,5.25,2.74
6900.0,137.03,59.66,8.625,131.53,6.64,2.78
7000.0,137.22,60.47,7.875,134.45,6.23,3.32
7100.0,136.09,60.12,7.125,132.75,5.71,2.72
7200.0,137.25,59.75,6.375,132.34,6.67,2.89
7300.0,138.18,60.26,5.625,133.86,3.5,2.65
7400.0,134.33,59.72,4.875,131.69,6.63,2.85
7500.0,131.71,59.85,4.125,131.78,7.31,2.75
7600.0,132.86,59.17,3.375,130.33,5.26,2.51
7700.0,131.49,59.33,2.625,131.07,6.68,2.82
7800.0,135.89,59.47,1.875,131.51,5.75,2.8
7900.0,136.24,59.98,1.125,133.01,7.04,2.85
8000.0,135.89,59.87,0.375,132.01,5.8,2.75
