ps,knee_deg,Rg_A,D457-K688,D595-K688
15200.0,145.23,55.93,5.86,2.79
15300.0,146.3,56.12,6.68,2.73
15400.0,147.62,55.79,7.17,2.81
15500.0,147.41,56.18,4.87,2.57
15600.0,145.43,55.71,6.8,2.83
15700.0,146.45,56.03,8.08,3.78
15800.0,143.17,55.59,7.1,3.11
15900.0,143.16,55.68,7.4,2.71
16000.0,142.54,55.43,5.05,2.93
16100.0,142.25,55.67,4.96,2.69
16200.0,143.28,55.62,5.06,2.88
16300.0,142.77,55.45,6.46,2.89
16400.0,142.98,55.34,6.69,2.95
16500.0,142.56,55.11,6.36,3.11
16600.0,142.26,54.83,6.08,2.89
16700.0,138.76,54.61,7.68,2.95
16800.0,138.42,54.7,7.51,2.71
16900.0,139.3,54.74,6.02,2.83
17000.0,139.63,54.62,5.89,2.71
17100.0,138.56,54.41,7.98,2.84
17200.0,141.06,54.97,6.53,2.81
17300.0,140.1,55.2,7.14,2.79
17400.0,142.08,55.61,5.78,3.34
17500.0,142.05,55.59,6.98,2.82
17600.0,141.44,55.33,4.55,2.88
17700.0,141.43,55.46,5.2,3.01
17800.0,144.04,56.04,6.72,2.78
17900.0,143.57,56.01,5.83,3.07
18000.0,143.92,55.76,7.67,2.71
18100.0,143.72,55.84,7.3,2.85
18200.0,143.75,56.07,5.28,2.8
18300.0,145.06,56.24,5.73,2.81
18400.0,143.0,55.87,8.12,2.86
18500.0,143.74,55.99,7.0,2.71
18600.0,143.21,55.86,9.2,6.23
18700.0,141.91,55.46,7.26,2.75
18800.0,141.3,55.72,6.11,2.79
18900.0,142.68,55.9,11.18,6.93
19000.0,142.21,55.76,8.02,3.04
19100.0,143.05,55.72,7.37,2.78
19200.0,143.19,56.11,7.83,2.75
19300.0,142.1,55.86,7.16,2.68
19400.0,143.46,56.36,7.39,2.72
19500.0,143.49,56.49,6.95,3.01
19600.0,144.53,56.48,9.9,5.39
19700.0,145.8,56.48,5.29,2.74
19800.0,144.59,55.98,6.55,3.32
19900.0,147.07,56.45,5.99,2.81
20000.0,145.0,56.12,6.53,4.45
